,stat,p
product_search_result_len,182.85156650193693,2.682795188278091e-28
"intents_bind__'New Search', 'neutral'_",61.36426707881046,4.743415704636953e-15
positive_aspects_binary,35.39745186692741,2.6883836567898923e-09
gender_binary,13.023358590443664,0.0003076295957698444
"intents_bind__'Shop Now', 'neutral'_",10.351677336223243,0.0012935709088802297
age_binary,9.160155537314191,0.002473415458764648
"intents_bind__'neutral', 'Shop Now'_",1.380815150907989,0.23996234629024632
intents_bind_other,1.1719765933672535,0.2789954757450527
positive_positive_product_type,0.7564331432387993,0.3844470715404734
sku_binary,0.7521103491130936,0.38580890319356453
"intents_bind__'Not Understood', 'neutral'_",0.021358565786782552,0.8838063698751396
